,Title,Summary,Published On
0,US home price growth slowed in October,"U.S. home price growth slowed in October, a likely consequence of higher mortgage rates having worsened affordability and causing sales to fall.",2018-12-26 14:17:00Z
1,Trump lashes out at Fed � again: 'They're raising interest rates too fast',"Trump has largely laid the blame for economic headwinds on the Fed, openly criticizing its chairman, Jerome Powell, whom he appointed.",2018-12-25 16:15:00Z
2,"Shutdown won't stop key jobs report or CPI, but other data could be impacted","The partial government shutdown will have some impact on the release of market-moving economic data, though the biggest reports likely won&#039;t be affected.",2018-12-26 16:42:00Z
3,US jobless claims dip in a sign of labor market strength,"The number of Americans filing applications for jobless benefits fell marginally last week to near a 49-year low, pointing to underlying strength in the labor market.",2018-12-27 13:30:00Z
4,"The Fed is losing its ability to control interest rates, former Senate banking chief says",Texas Republican Phil Gramm argues in a Wall Street Journal op-ed that the central bank&#039;s attempt to normalize interest rate policy while it also reduces the size of the securities it holds on its balance sheet could go terribly wrong.,2019-01-02 14:40:00Z
5,The first economic data from December is in and it shows trouble,The first survey of December&#039;s economic data came out on Wednesday with diminished results.,2019-01-02 15:46:00Z
6,Companies from Apple to Ford are flashing warning signs about the Chinese economy,"The trade war between the world&#039;s two largest economies is starting to slow their pace of growth, especially in China. The tension is beginning to bleed into balance sheets across the U.S. � in Detroit, on Fifth Avenue and Silicon Valley.",2019-01-03 10:00:00Z
7,"Mortgage applications plummet nearly 10% to end 2018, despite lower rates","The numbers are surprising, given that homebuyers and homeowners looking to refinance could have taken advantage of lower interest rates.",2019-01-03 12:00:00Z
8,Wall Street bear David Rosenberg warns that a recession is virtually unavoidable this year,Gluskin Sheff&#039;s David Rosenberg warns the economy is on a collision course with a recession.,2019-01-03 12:58:00Z
9,"Companies added way more jobs than expected in December, ADP/Moody's report shows","The latest ADP/Moody&#039;s Analytics survey shows that companies added 271,000 new positions as 2018 came to a close, smashing estimates of 178,000 from economists surveyed by Reuters.",2019-01-03 13:15:00Z
10,"US weekly jobless claims total 231,000, vs 220,000 expected","First-time claims for state unemployment benefits were expected to total 220,000 for the most recent week, down from the 216,000 claims reported for the previous week.",2019-01-03 13:30:00Z
11,Key reading of the manufacturing sector falls to lowest level in more than 2 years,"Activity in the U.S. manufacturing sector expanded at a much slower pace than expected last month, according to the Institute for Supply Management.",2019-01-03 15:00:00Z
12,The president of the Dallas Fed says central bank should pause rate hikes amid turmoil in markets,"The Federal Reserve ought to stop raising interest rates until it gets a clearer picture of where the economy is headed, Robert Kaplan, president of the central bank&#039;s Dallas district, said in an interview Thursday.",2019-01-03 16:35:00Z
13,"Cleveland Fed President Loretta Mester says if inflation doesn't rise, Fed could stop hikes",,2019-01-04 13:10:00Z
14,"US created 312,000 jobs in December, vs 176,000 expected",,2019-01-04 13:30:00Z
